id,ts,temp
446,"2026-01-26 13:00:41",0.0
447,"2026-01-26 13:00:52",0.0
448,"2026-01-26 13:29:45",0.0
449,"2026-01-26 13:29:57",0.0
450,"2026-01-26 13:30:09",0.0
451,"2026-01-26 13:30:20",0.0
452,"2026-01-26 13:30:32",0.0
453,"2026-01-26 13:30:44",0.0
454,"2026-01-26 13:31:05",9.99
455,"2026-01-26 13:31:17",10.8
456,"2026-01-26 13:31:29",11.04
457,"2026-01-26 13:31:41",10.4
458,"2026-01-26 13:32:04",10.4
459,"2026-01-26 13:32:16",10.15
460,"2026-01-26 13:32:28",10.4
461,"2026-01-26 13:32:46",39.68
462,"2026-01-26 13:32:58",41.94
463,"2026-01-26 13:33:09",41.29
464,"2026-01-26 13:33:21",41.29
465,"2026-01-26 13:33:33",41.61
466,"2026-01-26 13:33:45",41.61
467,"2026-01-26 13:33:57",40.97
468,"2026-01-26 13:34:08",41.61
469,"2026-01-26 13:34:20",39.68
470,"2026-01-26 13:34:32",40.97
471,"2026-01-26 13:34:44",42.58
472,"2026-01-26 13:34:55",41.61
473,"2026-01-26 13:35:07",41.29
474,"2026-01-26 13:35:19",41.29
475,"2026-01-26 13:35:30",40.32
476,"2026-01-26 13:35:43",41.29
477,"2026-01-26 13:35:55",41.29
478,"2026-01-26 13:36:07",40.32
479,"2026-01-26 13:36:19",40.32
480,"2026-01-26 13:36:31",41.61
481,"2026-01-26 13:36:43",41.29
482,"2026-01-26 13:36:54",40.65
483,"2026-01-26 13:37:06",42.9
484,"2026-01-26 13:37:18",41.29
485,"2026-01-26 13:37:29",41.29
486,"2026-01-26 13:37:41",41.29
487,"2026-01-26 13:37:53",42.58
488,"2026-01-26 13:38:12",10.32
489,"2026-01-26 13:38:24",10.56
490,"2026-01-26 13:38:36",10.48
491,"2026-01-26 13:38:47",10.8
492,"2026-01-26 13:38:59",10.48
493,"2026-01-26 13:39:11",10.56
494,"2026-01-26 13:39:23",10.64
495,"2026-01-26 13:39:35",11.04
496,"2026-01-26 13:39:46",11.6
497,"2026-01-26 13:39:59",10.72
498,"2026-01-26 13:40:10",10.64
499,"2026-01-26 13:40:21",10.72
500,"2026-01-26 14:13:06",9.03
501,"2026-01-26 14:13:18",12.09
502,"2026-01-26 14:13:30",13.05
503,"2026-01-26 14:13:41",11.52
504,"2026-01-26 14:13:53",10.4
505,"2026-01-26 14:14:05",10.23
506,"2026-01-26 14:14:14",10.07
507,"2026-01-26 14:14:26",9.51
508,"2026-01-26 14:14:37",9.59
509,"2026-01-26 14:14:49",9.19
510,"2026-01-26 14:15:11",9.59
511,"2026-01-26 14:15:23",9.51
512,"2026-01-26 14:15:35",9.03
513,"2026-01-26 14:15:47",9.27
514,"2026-01-26 14:15:58",9.03
515,"2026-01-26 14:16:10",9.03
516,"2026-01-26 14:16:22",9.19
517,"2026-01-26 14:16:33",9.75
518,"2026-01-26 14:16:59",9.27
519,"2026-01-26 14:17:10",9.19
520,"2026-01-26 14:17:22",15.31
521,"2026-01-26 14:17:34",16.44
522,"2026-01-26 14:17:46",16.44
523,"2026-01-26 14:17:57",16.76
524,"2026-01-26 14:18:21",16.6
525,"2026-01-26 14:18:32",16.36
526,"2026-01-26 14:18:44",16.92
527,"2026-01-26 14:18:56",16.04
528,"2026-01-26 14:19:08",13.7
529,"2026-01-26 14:19:19",11.6
530,"2026-01-26 14:19:31",12.09
531,"2026-01-26 14:19:43",12.01
532,"2026-01-26 14:19:54",11.52
533,"2026-01-26 14:20:06",11.12
534,"2026-01-26 14:20:18",11.2
535,"2026-01-26 14:20:30",10.56
536,"2026-01-26 14:20:41",11.12
537,"2026-01-26 14:20:53",10.8
538,"2026-01-26 14:21:05",11.2
539,"2026-01-26 14:21:16",10.8
540,"2026-01-26 14:21:29",10.56
541,"2026-01-26 14:21:40",11.04
542,"2026-01-26 14:21:52",10.56
543,"2026-01-26 14:22:04",10.4
544,"2026-01-26 14:22:15",10.8
545,"2026-01-26 14:22:28",10.4
546,"2026-01-26 14:22:40",10.23
547,"2026-01-26 14:22:52",10.23
548,"2026-01-26 14:23:04",10.4
549,"2026-01-26 14:23:16",10.15
550,"2026-01-26 14:23:30",10.15
551,"2026-01-26 14:23:41",10.32
552,"2026-01-26 14:23:53",10.32
553,"2026-01-26 14:24:05",10.32
554,"2026-01-26 14:24:17",10.32
555,"2026-01-26 14:24:29",10.15
556,"2026-01-26 14:24:41",10.48
557,"2026-01-26 14:24:53",10.56
558,"2026-01-26 14:25:06",10.4
559,"2026-01-26 14:26:10",10.15
560,"2026-01-26 14:26:22",9.99
561,"2026-01-26 14:26:33",9.83
562,"2026-01-26 14:26:45",10.32
563,"2026-01-26 14:26:57",9.75
564,"2026-01-26 14:27:09",10.07
565,"2026-01-26 14:27:22",9.75
566,"2026-01-26 14:27:33",9.99
567,"2026-01-26 14:27:45",9.99
568,"2026-01-26 14:27:56",10.32
569,"2026-01-26 14:28:08",9.91
570,"2026-01-26 14:28:21",9.43
571,"2026-01-26 14:28:32",9.83
572,"2026-01-26 14:28:44",9.75
573,"2026-01-26 14:28:56",9.91
574,"2026-01-26 14:29:07",9.51
575,"2026-01-26 14:29:19",9.83
576,"2026-01-26 14:29:31",9.75
577,"2026-01-26 14:29:43",9.75
578,"2026-01-26 14:29:55",9.51
579,"2026-01-26 14:30:08",9.59
580,"2026-01-26 14:30:20",9.67
581,"2026-01-26 14:30:31",9.83
582,"2026-01-26 14:30:43",10.07
583,"2026-01-26 14:30:55",9.91
584,"2026-01-26 14:31:07",9.91
585,"2026-01-26 14:31:19",10.23
586,"2026-01-26 14:31:30",9.83
587,"2026-01-26 14:31:42",9.75
588,"2026-01-26 14:31:54",9.91
589,"2026-01-26 14:32:05",10.23
590,"2026-01-26 14:32:17",10.32
591,"2026-01-26 14:32:29",10.23
592,"2026-01-26 14:32:40",10.32
593,"2026-01-26 14:32:52",10.32
594,"2026-01-26 14:33:04",9.91
595,"2026-01-26 14:33:16",9.91
596,"2026-01-26 14:33:27",10.32
597,"2026-01-26 14:33:39",0.0
598,"2026-01-26 14:33:51",0.0
599,"2026-01-26 14:34:03",0.0
600,"2026-01-26 14:34:14",0.0
601,"2026-01-26 14:34:26",260.13
602,"2026-01-26 14:34:38",0.0
603,"2026-01-26 14:34:50",0.0
604,"2026-01-26 14:35:01",0.0
605,"2026-01-26 14:35:13",0.0
606,"2026-01-26 14:35:25",6.21
607,"2026-01-26 14:35:37",0.0
608,"2026-01-26 14:35:49",128.78
609,"2026-01-26 14:36:04",11.28
610,"2026-01-26 14:36:15",0.0
611,"2026-01-26 14:36:26",0.0
612,"2026-01-26 14:36:38",0.0
613,"2026-01-26 14:36:50",288.74
614,"2026-01-26 14:37:02",330.0
615,"2026-01-26 14:37:13",330.0
616,"2026-01-26 14:37:25",314.04
617,"2026-01-26 14:37:37",330.0
618,"2026-01-26 14:37:49",330.0
619,"2026-01-26 14:38:00",330.0
620,"2026-01-26 14:38:24",275.68
621,"2026-01-26 14:38:36",292.69
622,"2026-01-26 14:38:47",330.0
623,"2026-01-26 14:38:59",10.64
624,"2026-01-26 14:39:11",10.8
625,"2026-01-26 14:39:22",10.72
626,"2026-01-26 14:39:34",10.32
627,"2026-01-26 14:39:46",10.88
628,"2026-01-26 14:39:57",11.12
629,"2026-01-26 14:40:09",10.72
630,"2026-01-26 14:40:20",10.56
631,"2026-01-26 14:40:32",10.88
632,"2026-01-26 14:40:44",10.96
633,"2026-01-26 14:40:55",10.8
634,"2026-01-26 14:41:07",10.72
635,"2026-01-26 14:41:18",10.8
636,"2026-01-26 14:41:30",10.8
637,"2026-01-26 14:41:42",10.96
638,"2026-01-26 14:41:53",10.72
639,"2026-01-26 14:42:05",10.72
640,"2026-01-26 14:42:17",10.64
641,"2026-01-26 14:42:29",10.56
642,"2026-01-26 14:42:40",10.32
643,"2026-01-26 14:42:52",10.4
644,"2026-01-26 14:43:04",10.48
645,"2026-01-26 14:43:15",10.4
646,"2026-01-26 14:43:27",10.48
